,score,label,old_state,new_state
107755,0.9985004658959585,1,-> x -> bot,->bot
110526,0.9979374996013438,1,<->bot,<->bot
16550,0.9960677796768451,0,-> x -> bot,-> x -> bot
108331,0.9946873987899065,0,-> x -> bot,-> x -> bot
41661,0.9877177899263141,1,<->bot,<->bot
16545,0.10164011603770484,1,-> x -> bot,->bot
88632,0.009832107983573882,1,<-bot,<->bot
91238,0.009832107983573882,1,<-bot,<->bot
109992,0.009832107983573882,1,<-bot,<->bot
75760,0.009832107983573882,0,None,None
79919,0.005552637362777815,0,None,None
108938,-0.00040115663721186894,0,None,None
